group,c1,c2,y
B,4.058117888138774,5.329581540616428,12.649034977381444
A,4.19494483833423,3.8394763027789236,17.30908342509048
A,2.24641066619721,10.694665954185535,15.695646076805179
B,2.5109121205320513,6.414959550721198,11.535752355564618
B,3.1947221710466,6.116839177956942,14.954389254136645
B,1.736451078468056,5.284335509407014,13.59763947588919
B,4.261710729059337,2.967360881933009,13.6191093212276
C,0.9972272035219291,2.718281828459045,5.476909327042826
A,3.4318813752021002,5.0823458792134195,14.456803353414017
C,0.21432574875748578,2.718281828459045,6.8046377923476635
A,3.7593466862766043,3.529570613462152,15.735418195079632
B,1.26841104235928,4.24379653152275,11.763043936570162
A,2.882724368952294,6.324500180945564,13.762228246468286
B,3.4378084497060373,6.701451831876528,14.577333776269715
A,4.713130523056423,5.436414951542339,17.160792478146213
A,1.9500374397695237,14.526591122432214,15.410453447277208
B,1.6876246815082134,3.443833443733945,13.482156835507848
A,1.9429416005076758,4.103079806915836,19.839855589130607
B,3.347918882159645,7.10757521782922,14.951031135992455
B,0.24586607633907143,2.8337787509182744,7.749102762408572
C,2.7422040007421766,14.151387342871754,16.986126536312995
C,1.856931313180402,4.824730314704318,9.70630129646249
B,3.160618526672987,2.756429443688852,10.7408365352589
A,2.1248822632765134,6.918431075668103,13.546810211393502
A,2.946656400118564,3.0355239457466237,15.135594393533411
C,-0.035087415793036536,2.718281828459045,9.07049224853348
B,1.8045405824204523,5.326025753459076,10.968142508784865
B,2.399608467411986,6.238691578705591,13.9237384250483
A,3.847922506078681,19.9374889344585,16.47808075208385
C,2.624799567088723,2.718281828459045,4.324730858141868
A,2.971805939997813,17.619765276962216,13.758132619220621
A,3.2003417910722316,4.222836336156304,13.295226957953213
A,3.431222128919736,2.7696272004382703,15.188368497364657
A,3.778980290260035,6.739663511707156,15.803101012000527
B,2.5553948272706277,2.9035141400493805,9.869841069988976
C,0.4199397766551062,2.718281828459045,11.232101048229989
C,-0.03086997755136167,2.718281828459045,8.252863067740705
A,3.0964714936845636,7.84168895058063,17.543458726575395
A,4.100852554423672,11.20618118945501,17.103027783684432
B,1.0979941134099989,2.718281828459045,8.678619107260122
C,-0.1037896889622516,2.718281828459045,8.978958700719627
A,2.9820683208198897,11.57841581286468,12.68776232684267
C,0.4772048633702768,2.718281828459045,9.741587186627772
A,1.5514196652619794,9.489106999955432,14.229732968272055
B,2.5904679077095434,3.2446575556372794,13.06052052227146
B,1.8795209330125857,3.8061097306387266,11.094596914919373
C,2.316723294318256,7.205209029498569,13.981396895324568
B,3.0953390159813257,2.9039909945337885,14.512093816442018
B,2.52415093573228,3.0318441014900883,13.884696198505477
B,1.3571539851148082,5.996512342642352,9.477818314826331
C,-0.18903457007862556,2.718281828459045,10.423070355996401
C,2.650066975551608,2.718281828459045,9.243036603717048
C,2.5965888307560068,2.718281828459045,8.98870499680098
